code_number,code_name,n_papers,mean_mol,max_mol
161,Hippocampal code,1,-0.2315,-0.2315
248,Neural codes – A (general),8,-0.2342,-0.1202
78,Cooperation codes,1,-0.2366,-0.2366
250,Neural Code – C (perception & recognition),14,-0.2379,-0.0618
424,Visual code,28,-0.2408,-0.0820
253,Neural code – F (phase codes),2,-0.2435,-0.2380
240,Motor neuron code,4,-0.2447,-0.2128
249,Neural Code – B (motion),2,-0.2491,-0.2485
246,Navigation codes,2,-0.2543,-0.2363
92,Decisional Codes,1,-0.2585,-0.2585
21,Auditory Code,20,-0.2595,-0.1518
29,Binaural code,2,-0.2610,-0.2534
426,Vocal code,1,-0.2634,-0.2634
365,Spike code,3,-0.2652,-0.2236
393,Time code,1,-0.2752,-0.2752
281,Oscillation code,1,-0.2871,-0.2871
211,Magnitude codes,1,-0.2991,-0.2991
