code_number,code_name,n_papers,mean_mol,mean_art,mean_diff
432,Zip code -A (DNA),2,0.1913,-0.0394,-0.2306
288,Persistence code,1,0.1983,-0.0358,-0.2341
105,Domain code,1,0.3420,0.1034,-0.2386
329,Repair code,3,0.1886,-0.0537,-0.2423
162,Histone code – A (general),21,0.2113,-0.0350,-0.2463
389,Terpene code,1,0.2845,0.0363,-0.2482
58,Chromatin code,2,0.2244,-0.0280,-0.2524
115,Epigenetic code – B (stem cell),1,0.1551,-0.0978,-0.2529
83,CTD code,1,0.2119,-0.0433,-0.2552
52,Centromere code,1,0.2231,-0.0424,-0.2655
364,Sperm code,2,0.2063,-0.0630,-0.2694
327,Redox code,2,0.2557,-0.0152,-0.2710
198,Lactylation code,2,0.2312,-0.0483,-0.2796
340,RNA recognition code,4,0.2886,0.0083,-0.2803
117,Epigenetic code – D (miscellaneous),4,0.2350,-0.0518,-0.2868
354,Serin code,1,0.2521,-0.0461,-0.2982
114,Epigenetic code – A (general),5,0.2456,-0.0597,-0.3053
42,Cancer code – B (epigenetic),2,0.2789,-0.0280,-0.3069
336,RNA code -D (sno),1,0.2262,-0.0943,-0.3205
338,RNA editing/modification code,4,0.2792,-0.0423,-0.3215
271,Nucleosome code,1,0.3592,0.0353,-0.3239
265,Non-ribosomal code,1,0.3600,0.0358,-0.3241
423,Viral code,1,0.3843,0.0515,-0.3329
403,Translation code,1,0.3336,-0.0160,-0.3496
139,Genetic code – B (research),3,0.4229,0.0731,-0.3498
103,DNA damage code,1,0.2951,-0.0601,-0.3553
322,Rag GTPase dimer code,1,0.2830,-0.0734,-0.3564
333,RNA code -A (miscellaneous),6,0.3373,-0.0202,-0.3575
61,Circular ribosome code,1,0.4368,0.0777,-0.3591
335,RNA code -C (operational),1,0.5233,0.1450,-0.3783
142,"Genetic code, second",3,0.4840,0.1020,-0.3820
407,tRNA code,4,0.4892,0.0702,-0.4190
428,Wobbling code,2,0.5098,0.0888,-0.4210
232,Mitochondrial genetic code,1,0.5889,0.1351,-0.4539
141,Genetic code – D (alternative),8,0.6074,0.0699,-0.5375
140,Genetic Code – C (expanded),7,0.6002,0.0331,-0.5670
