Source File,Paper Name,URL
Introduction to Code Biology - Barbieri (2014).pdf,"Barbieri, M. (2014). Introduction to Code Biology. Biosemiotics, 7(2), 167-179.",https://doi.org/10.1007/s12304-014-9212-1
What Is Code Biology? - Barbieri (2018).pdf,"Barbieri, M. (2018). What is code biology? BioSystems, 164, 1-10.",https://doi.org/10.1016/j.biosystems.2017.10.005
Archetypes and code biology - Major (2021).pdf,"Major, J. C. (2021). “Archetypes and code biology.” Biosystems 208: 104501.",https://doi.org/10.1016/j.biosystems.2021.104501
From Code to Archetype - Major (2025).pdf,"Major, J. C. (2025). From code to archetype: Toward a unified theory of biological, neural, and artificial artifacts. Biosystems, 254, 105516.",https://doi.org/10.1016/j.biosystems.2025.105516
